customer_id,customer_name,email,registration_date,customer_type,email_valid
1,Allison Hill,donaldgarcia@example.net,2026-04-05,VIP,True
2,Javier Johnson,jesseguzman@example.net,2024-03-06,Regular,True
3,Kimberly Robinson,lisa02@example.net,2024-11-07,Regular,True
4,Daniel Gallagher,daviscolin@example.com,2025-05-24,VIP,True
5,Monica Herrera,smiller@example.net,2025-06-09,Premium,True
6,Laura Bush,stanleykendra@example.org,2026-02-24,Regular,True
7,Jamie Chavez,francisco53@example.net,2024-05-20,Regular,True
8,Maria Lynch,amandasanchez@example.com,2024-09-20,Regular,True
9,Margaret Hawkins DDS,perezantonio@example.com,2024-10-14,VIP,True
10,Thomas Bradley,jason76@example.net,2024-12-16,Regular,True
11,David Hoffman,julie69@example.com,2024-09-01,VIP,True
12,Brenda Snyder PhD,hernandezernest@example.net,2024-11-06,VIP,True
13,James Ferrell,tasha01@example.net,2026-03-28,VIP,True
14,Patricia Peterson,ryan70@example.net,2026-03-18,Regular,True
15,Jonathan White,harrellkenneth@example.net,2025-02-08,VIP,True
16,James Martin,georgetracy@example.org,2026-05-16,Premium,True
17,Sandra Parker,allenashley@example.org,2023-11-03,Regular,True
18,Mr. Philip Cannon,donnaarroyo@example.org,2024-05-18,Regular,True
19,Jenny Lewis,jenniferross@example.net,2025-07-14,Regular,True
20,Joseph Martinez,calebsmith@example.net,2024-04-10,Regular,True
21,Benjamin Welch,carlosjohnson@example.com,2023-10-18,Regular,True
22,Michael Lewis,jenniferkhan@example.net,2025-01-01,VIP,True
23,Rhonda Lee,hopkinsmichael@example.com,2024-12-25,VIP,True
24,Megan Joyce,brownjessica@example.org,2024-04-30,Regular,True
25,Jerry Henderson,steven17@example.net,2023-11-17,VIP,True
26,Kimberly Smith,housemelinda@example.org,2024-10-20,Regular,True
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-06-09,VIP,True
28,Monica Logan,smoore@example.org,2026-06-28,VIP,True
29,Kimberly Adkins,williamsthomas@example.net,2024-01-21,VIP,True
30,Angela Lopez,leonardjoe@example.org,2026-05-29,VIP,True
31,Lauren Williams,barnesbrandy@example.net,2024-07-13,Premium,True
32,Michael Edwards,randy47@example.com,2026-05-16,Regular,True
33,Alexandra Howell,jonesjason@example.com,2023-12-25,Premium,True
34,Benjamin Sanchez,eric84@example.net,2026-07-15,VIP,True
35,Kendra Contreras,sarah12@example.com,2023-12-06,Premium,True
36,Juan Nelson,jenniferharris@example.net,2026-02-21,Regular,True
37,Danielle Odonnell,davisrodney@example.com,2023-09-19,Regular,True
38,Carlos Whitney,joycearnold@example.com,2025-04-07,VIP,True
39,Tony Vazquez,amydavenport@example.net,2025-03-29,Premium,True
40,Andrew Diaz,nolanjason@example.org,2025-08-01,Premium,True
41,Justin Baxter,sarayoung@example.org,2026-07-06,Premium,True
42,Sierra Johnson,kimberly63@example.com,2024-01-23,Regular,True
43,Janet Williams,dwalker@example.com,2024-07-01,Regular,True
44,Crystal Johnson,raymondramirez@example.org,2026-06-26,Premium,True
45,Martin Ross,sheila14@example.org,2025-04-29,Regular,True
46,Mrs. Linda Reed,samuel81@example.com,2026-04-13,Regular,True
47,Andrew Graham,michaeljones@example.net,2026-05-07,Premium,True
48,Mary Martinez,william65@example.com,2025-09-04,Regular,True
49,Cheryl Ortega,lbyrd@example.net,2025-04-16,Premium,True
50,Roy Torres,russellcarpenter@example.net,2024-07-20,Premium,True
51,Michael Dixon,donnacampbell@example.net,2025-06-25,VIP,True
52,Robert Potter,jeffrey32@example.org,2023-09-21,Premium,True
53,Miss Patricia Gibson,jennifercruz@example.com,2024-04-25,Regular,True
54,Abigail Potter,osbornejeffery@example.net,2025-02-19,VIP,True
55,David Charles,danderson@example.net,2025-03-06,Premium,True
56,Emily Fischer,usalazar@example.net,2024-11-11,VIP,True
57,Jill Moore,wcole@example.org,2026-02-07,Regular,True
58,Richard Washington,joshuajones@example.com,2024-04-15,Premium,True
59,Steven Miller,jessebenson@example.net,2024-03-23,Regular,True
60,Gary Owens,clarkrobert@example.net,2026-06-03,VIP,True
61,Spencer Johnston,wsmith@example.com,2025-11-04,Premium,True
62,Tiffany Barnes,tracynelson@example.com,2023-09-02,VIP,True
63,Michael Powell,marycalhoun@example.net,2025-03-09,VIP,True
64,Leslie Alvarado,dayderek@example.com,2024-02-17,Premium,True
65,Garrett Gibson,kathleen64@example.com,2024-05-04,VIP,True
66,Alec Ryan,jeffrey10@example.org,2026-06-07,Regular,True
67,Alex Hernandez,thomaswilson@example.org,2024-12-23,VIP,True
68,Jacob Obrien,stricklandfrank@example.com,2023-11-28,Regular,True
69,Eric Byrd,invalid_email,2023-10-24,Regular,False
70,Lori Garcia,melissa91@example.net,2025-12-06,VIP,True
71,Jeffrey Wood,alexander67@example.org,2024-11-19,Regular,True
72,Steven Stevens,ryangross@example.net,2024-05-24,Premium,True
73,Kimberly Webb,lpetersen@example.com,2024-07-20,Regular,True
74,Timothy Ramirez,invalid_email,2025-05-31,Regular,False
75,Allen Rosales,tonykelly@example.com,2024-08-09,Regular,True
76,Meredith Hill,blackjames@example.org,2025-09-29,Premium,True
77,Peter Vaughn DDS,bwest@example.org,2024-06-19,Premium,True
78,David Beck,thomas85@example.com,2026-07-29,Premium,True
79,Heather Chavez,john13@example.com,2023-12-11,VIP,True
